score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.8585714,0.9547322,2243.0,1,0train,3,2,BNCI2014-001,CSP+LDA
0.88040817,0.9547322,2243.0,1,1test,3,2,BNCI2014-001,CSP+LDA
0.5244898,0.9280014,2243.0,2,0train,3,2,BNCI2014-001,CSP+LDA
0.57632655,0.9280014,2243.0,2,1test,3,2,BNCI2014-001,CSP+LDA
0.98530614,0.9595516,2243.0,3,0train,3,2,BNCI2014-001,CSP+LDA
0.98591834,0.9595516,2243.0,3,1test,3,2,BNCI2014-001,CSP+LDA
0.7468813,1.0208585,2242.0,4,0train,3,2,BNCI2014-001,CSP+LDA
0.71428573,1.0208585,2242.0,4,1test,3,2,BNCI2014-001,CSP+LDA
0.5187755,0.94590735,2243.0,5,0train,3,2,BNCI2014-001,CSP+LDA
0.5853061,0.94590735,2243.0,5,1test,3,2,BNCI2014-001,CSP+LDA
0.7338028,0.87230706,2242.0,6,0train,3,2,BNCI2014-001,CSP+LDA
0.6993877,0.87230706,2242.0,6,1test,3,2,BNCI2014-001,CSP+LDA
0.6295918,1.2027814,2243.0,7,0train,3,2,BNCI2014-001,CSP+LDA
0.72510207,1.2027814,2243.0,7,1test,3,2,BNCI2014-001,CSP+LDA
0.9479592,0.9712949,2243.0,8,0train,3,2,BNCI2014-001,CSP+LDA
0.93897957,0.9712949,2243.0,8,1test,3,2,BNCI2014-001,CSP+LDA
0.69557345,0.9991486,2242.0,9,0train,3,2,BNCI2014-001,CSP+LDA
0.6165306,0.9991486,2242.0,9,1test,3,2,BNCI2014-001,CSP+LDA
0.8587755,1.329572,2243.0,1,0train,3,2,BNCI2014-001,CSP+LR
0.88061225,1.329572,2243.0,1,1test,3,2,BNCI2014-001,CSP+LR
0.52387756,1.2805431,2243.0,2,0train,3,2,BNCI2014-001,CSP+LR
0.57612246,1.2805431,2243.0,2,1test,3,2,BNCI2014-001,CSP+LR
0.98530614,1.5000546,2243.0,3,0train,3,2,BNCI2014-001,CSP+LR
0.98591834,1.5000546,2243.0,3,1test,3,2,BNCI2014-001,CSP+LR
0.7470825,1.4607885,2242.0,4,0train,3,2,BNCI2014-001,CSP+LR
0.7146939,1.4607885,2242.0,4,1test,3,2,BNCI2014-001,CSP+LR
0.5177551,1.2439957,2243.0,5,0train,3,2,BNCI2014-001,CSP+LR
0.58469385,1.2439957,2243.0,5,1test,3,2,BNCI2014-001,CSP+LR
0.73199195,1.1542151,2242.0,6,0train,3,2,BNCI2014-001,CSP+LR
0.6981633,1.1542151,2242.0,6,1test,3,2,BNCI2014-001,CSP+LR
0.6295918,1.4331667,2243.0,7,0train,3,2,BNCI2014-001,CSP+LR
0.7244898,1.4331667,2243.0,7,1test,3,2,BNCI2014-001,CSP+LR
0.9479592,1.2813175,2243.0,8,0train,3,2,BNCI2014-001,CSP+LR
0.93897957,1.2813175,2243.0,8,1test,3,2,BNCI2014-001,CSP+LR
0.6935614,1.1185472,2242.0,9,0train,3,2,BNCI2014-001,CSP+LR
0.61142856,1.1185472,2242.0,9,1test,3,2,BNCI2014-001,CSP+LR
0.81306124,1.622864,2243.0,1,0train,3,2,BNCI2014-001,CSP+SVM
0.8316327,1.622864,2243.0,1,1test,3,2,BNCI2014-001,CSP+SVM
0.52040815,2.0162015,2243.0,2,0train,3,2,BNCI2014-001,CSP+SVM
0.56102043,2.0162015,2243.0,2,1test,3,2,BNCI2014-001,CSP+SVM
0.88469386,1.7204418,2243.0,3,0train,3,2,BNCI2014-001,CSP+SVM
0.9832653,1.7204418,2243.0,3,1test,3,2,BNCI2014-001,CSP+SVM
0.7269618,1.9204066,2242.0,4,0train,3,2,BNCI2014-001,CSP+SVM
0.65755105,1.9204066,2242.0,4,1test,3,2,BNCI2014-001,CSP+SVM
0.48306122,1.8401155,2243.0,5,0train,3,2,BNCI2014-001,CSP+SVM
0.57836735,1.8401155,2243.0,5,1test,3,2,BNCI2014-001,CSP+SVM
0.7334004,1.8949385,2242.0,6,0train,3,2,BNCI2014-001,CSP+SVM
0.7087755,1.8949385,2242.0,6,1test,3,2,BNCI2014-001,CSP+SVM
0.60408163,1.5979719,2243.0,7,0train,3,2,BNCI2014-001,CSP+SVM
0.70469385,1.5979719,2243.0,7,1test,3,2,BNCI2014-001,CSP+SVM
0.8353061,1.7368844,2243.0,8,0train,3,2,BNCI2014-001,CSP+SVM
0.84183675,1.7368844,2243.0,8,1test,3,2,BNCI2014-001,CSP+SVM
0.73158956,1.6221185,2242.0,9,0train,3,2,BNCI2014-001,CSP+SVM
0.52020407,1.6221185,2242.0,9,1test,3,2,BNCI2014-001,CSP+SVM
0.48204082,147.60103,2243.0,1,0train,3,2,BNCI2014-001,EEGNet
0.56510204,147.60103,2243.0,1,1test,3,2,BNCI2014-001,EEGNet
0.59367347,103.977516,2243.0,2,0train,3,2,BNCI2014-001,EEGNet
0.5130612,103.977516,2243.0,2,1test,3,2,BNCI2014-001,EEGNet
0.527551,104.144585,2243.0,3,0train,3,2,BNCI2014-001,EEGNet
