score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.5946939,104.144585,2243.0,3,1test,3,2,BNCI2014-001,EEGNet
0.52012074,106.97144,2242.0,4,0train,3,2,BNCI2014-001,EEGNet
0.5138776,106.97144,2242.0,4,1test,3,2,BNCI2014-001,EEGNet
0.44346938,91.98606,2243.0,5,0train,3,2,BNCI2014-001,EEGNet
0.45979592,91.98606,2243.0,5,1test,3,2,BNCI2014-001,EEGNet
0.5032193,93.07379,2242.0,6,0train,3,2,BNCI2014-001,EEGNet
0.57408166,93.07379,2242.0,6,1test,3,2,BNCI2014-001,EEGNet
0.5353061,91.79296,2243.0,7,0train,3,2,BNCI2014-001,EEGNet
0.50857145,91.79296,2243.0,7,1test,3,2,BNCI2014-001,EEGNet
0.56306124,91.74298,2243.0,8,0train,3,2,BNCI2014-001,EEGNet
0.5714286,91.74298,2243.0,8,1test,3,2,BNCI2014-001,EEGNet
0.5472837,84.20956,2242.0,9,0train,3,2,BNCI2014-001,EEGNet
0.60612243,84.20956,2242.0,9,1test,3,2,BNCI2014-001,EEGNet
0.73142856,95.33286,2243.0,1,0train,3,2,BNCI2014-001,ShallowConvNet
0.7981633,95.33286,2243.0,1,1test,3,2,BNCI2014-001,ShallowConvNet
0.5753061,94.42791,2243.0,2,0train,3,2,BNCI2014-001,ShallowConvNet
0.5371429,94.42791,2243.0,2,1test,3,2,BNCI2014-001,ShallowConvNet
0.9120408,99.98478,2243.0,3,0train,3,2,BNCI2014-001,ShallowConvNet
0.9240816,99.98478,2243.0,3,1test,3,2,BNCI2014-001,ShallowConvNet
0.6744467,112.46117,2242.0,4,0train,3,2,BNCI2014-001,ShallowConvNet
0.71163267,112.46117,2242.0,4,1test,3,2,BNCI2014-001,ShallowConvNet
0.5081633,105.51785,2243.0,5,0train,3,2,BNCI2014-001,ShallowConvNet
0.5020408,105.51785,2243.0,5,1test,3,2,BNCI2014-001,ShallowConvNet
0.69336015,95.08948,2242.0,6,0train,3,2,BNCI2014-001,ShallowConvNet
0.7210204,95.08948,2242.0,6,1test,3,2,BNCI2014-001,ShallowConvNet
0.5987755,102.52105,2243.0,7,0train,3,2,BNCI2014-001,ShallowConvNet
0.7387755,102.52105,2243.0,7,1test,3,2,BNCI2014-001,ShallowConvNet
0.88836735,100.98815,2243.0,8,0train,3,2,BNCI2014-001,ShallowConvNet
0.9279592,100.98815,2243.0,8,1test,3,2,BNCI2014-001,ShallowConvNet
0.84567404,105.657074,2242.0,9,0train,3,2,BNCI2014-001,ShallowConvNet
0.765102,105.657074,2242.0,9,1test,3,2,BNCI2014-001,ShallowConvNet
