score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.32619047,1.8129363,2938.0,8,0,3,1,MotorImageryDataset,CSP+SVM
0.6939799,1.8643148,2930.0,9,0,3,1,MotorImageryDataset,CSP+SVM
0.5966138,1.836617,2857.0,10,0,3,1,MotorImageryDataset,CSP+SVM
0.58200186,1.8728864,2686.0,11,0,3,1,MotorImageryDataset,CSP+SVM
0.60714287,2.0389957,2697.0,12,0,3,1,MotorImageryDataset,CSP+SVM
0.62312925,2.528607,2900.0,13,0,3,1,MotorImageryDataset,CSP+SVM
1.0,2.1178956,2956.0,14,0,3,1,MotorImageryDataset,CSP+SVM
0.3788799,1.8827786,2870.0,15,0,3,1,MotorImageryDataset,CSP+SVM
0.67,1.9078345,2859.0,16,0,3,1,MotorImageryDataset,CSP+SVM
0.40382513,1.8840663,2858.0,17,0,3,1,MotorImageryDataset,CSP+SVM
0.7533875,2.017978,2902.0,18,0,3,1,MotorImageryDataset,CSP+SVM
0.5132275,1.8402367,2940.0,19,0,3,1,MotorImageryDataset,CSP+SVM
0.33333334,1.9553027,2936.0,20,0,3,1,MotorImageryDataset,CSP+SVM
0.42857143,1.904392,2894.0,21,0,3,1,MotorImageryDataset,CSP+SVM
0.76299435,1.6917315,2860.0,22,0,3,1,MotorImageryDataset,CSP+SVM
0.9891667,1.9183469,2859.0,23,0,3,1,MotorImageryDataset,CSP+SVM
0.81950414,2.267114,2869.0,24,0,3,1,MotorImageryDataset,CSP+SVM
0.8424242,2.1955068,2870.0,25,0,3,1,MotorImageryDataset,CSP+SVM
0.44444445,2.128183,2874.0,26,0,3,1,MotorImageryDataset,CSP+SVM
0.7567858,2.1850457,2857.0,27,0,3,1,MotorImageryDataset,CSP+SVM
0.37698412,1.8607283,2856.0,28,0,3,1,MotorImageryDataset,CSP+SVM
0.66576403,1.7179215,2877.0,29,0,3,1,MotorImageryDataset,CSP+SVM
0.46289438,134.56682,2742.0,1,0,3,1,MotorImageryDataset,EEGNet
0.49811828,103.314926,2863.0,2,0,3,1,MotorImageryDataset,EEGNet
0.627193,104.35898,2924.0,3,0,3,1,MotorImageryDataset,EEGNet
