score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.49396434,137.52213,2742.0,1,0,3,1,MotorImageryDataset,EEGNet
0.6360215,117.178566,2863.0,2,0,3,1,MotorImageryDataset,EEGNet
0.8245614,123.7017,2924.0,3,0,3,1,MotorImageryDataset,EEGNet
0.605,118.68517,2945.0,4,0,3,1,MotorImageryDataset,EEGNet
0.355,115.291435,2945.0,5,0,3,1,MotorImageryDataset,EEGNet
0.87,117.39486,2945.0,6,0,3,1,MotorImageryDataset,EEGNet
0.5260771,119.95395,2943.0,7,0,3,1,MotorImageryDataset,EEGNet
0.5309524,131.92189,2944.0,8,0,3,1,MotorImageryDataset,EEGNet
0.6923077,125.228516,2936.0,9,0,3,1,MotorImageryDataset,EEGNet
0.55012095,128.24998,2863.0,10,0,3,1,MotorImageryDataset,EEGNet
0.46602532,102.67294,2691.0,11,0,3,1,MotorImageryDataset,EEGNet
0.44409284,111.21032,2701.0,12,0,3,1,MotorImageryDataset,EEGNet
0.40136054,111.30215,2906.0,13,0,3,1,MotorImageryDataset,EEGNet
0.65686274,118.36476,2962.0,14,0,3,1,MotorImageryDataset,EEGNet
0.6568826,106.439926,2876.0,15,0,3,1,MotorImageryDataset,EEGNet
0.63222224,143.63423,2865.0,16,0,3,1,MotorImageryDataset,EEGNet
0.58114755,147.31851,2864.0,17,0,3,1,MotorImageryDataset,EEGNet
0.6395664,147.18721,2908.0,18,0,3,1,MotorImageryDataset,EEGNet
0.41798943,152.03197,2946.0,19,0,3,1,MotorImageryDataset,EEGNet
0.44372293,136.13144,2942.0,20,0,3,1,MotorImageryDataset,EEGNet
0.46400887,133.65437,2900.0,21,0,3,1,MotorImageryDataset,EEGNet
0.63276833,133.84149,2866.0,22,0,3,1,MotorImageryDataset,EEGNet
0.6577778,141.73105,2865.0,23,0,3,1,MotorImageryDataset,EEGNet
0.61289257,129.63919,2875.0,24,0,3,1,MotorImageryDataset,EEGNet
0.6198653,130.9111,2876.0,25,0,3,1,MotorImageryDataset,EEGNet
0.6332607,131.36647,2880.0,26,0,3,1,MotorImageryDataset,EEGNet
0.5552271,123.22869,2863.0,27,0,3,1,MotorImageryDataset,EEGNet
0.61296296,109.422775,2862.0,28,0,3,1,MotorImageryDataset,EEGNet
0.58484846,114.88778,2882.0,29,0,3,1,MotorImageryDataset,EEGNet
